タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"レベルダウンの罠から始まるアラサー男の万能生活
","R15 残酷な描写あり 冒険 男主人公 魔法 ダンジョン ほのぼの レベルアップ レベルダウン 恩返し 勇者の卵 クラウン 集英社小説大賞2 書籍化 コミカライズ予定
",136388,1096701,2194,https://ncode.syosetu.com/n8797gv/
"【web版】クラスで陰キャの俺が実は大人気バンドのボーカルな件
","R15 青春 ラブコメ ニヤニヤ展開 無自覚イケメン主人公 高スペック主人公 男主人公 ざまぁ チート 鈍感系主人公 ギャグ 勘違い 無自覚 俺TUEEEE コミカライズ 書籍化
",136288,178060,357,https://ncode.syosetu.com/n4814fw/
"魔力チートな魔女になりました～創造魔法で気ままな異世界生活～
","残酷な描写あり 異世界転生 ファンタジー 異世界 チート 女主人公 創造魔法 不老の魔女 ロリババァ予備軍 ゴーレム娘
",136068,712133,1425,https://ncode.syosetu.com/n4154fl/
"Frontier World ―召喚士として活動中―
","VRMMO 召喚士 召喚獣 職業 剣 魔法 スキル 掲示板 ゲーム ステータス サモナー テイマー 幼女 書籍化
",135940,1135913,2272,https://ncode.syosetu.com/n5834cr/
"捨てられ聖女の異世界ごはん旅　隠れスキルでキャンピングカーを召喚しました
","R15 残酷な描写あり 異世界転移 冒険 ラブコメ ほのぼの グルメ ざまぁ(予定) 料理 釣り スローライフ キャンプ ご都合主義 チート キャンピングカー
",135702,377739,756,https://ncode.syosetu.com/n1543fp/
"やり直し公女の魔導革命 〜処刑された悪役令嬢は滅びる家門を立てなおす〜 遠慮？自重？そんなことより魔導具です！
","女主人公 内政 魔法 ミリタリー 悪役令嬢 オリジナル戦記 魔導具づくり 戦記 銀髪少女 知識チート 領地経営 テディベア 成り上がり 家族から溺愛 R15 残酷な描写あり 異世界転生
",135668,442243,885,https://ncode.syosetu.com/n1409hu/
回復職の悪役令嬢,"女主人公 冒険 悪役令嬢 回復職 支援職 ゲーム世界 ゲーム知識 転職 婚約破棄 ざまあ プレイヤー R15 残酷な描写あり 異世界転生
",135626,466323,933,https://ncode.syosetu.com/n3704he/
"グリモワール×リバース～転生鬼神浪漫譚～
","残酷な描写あり 異世界転生 RPG 王道冒険ファンタジー 旅 合言葉は　浪漫　だ 本編完結済
",135567,1544143,3089,https://ncode.syosetu.com/n1854cj/
"家族に役立たずと言われ続けたわたしが、魔性の公爵騎士様の最愛になるまで
","女主人公 魔法 ハッピーエンド 身分差 令嬢 ファンタジー 溺愛 じれじれ R15
",135514,699655,1400,https://ncode.syosetu.com/n2472gl/
"大公妃候補だけど、堅実に行こうと思います
","R15 残酷な描写あり 日常 ラブコメ 残念な描写あり 女主人公 じれじれ ハッピーエンド 恋愛 結婚？ 貧乏令嬢 妃になる気がない お金大好き しかし守銭奴ではない Ｗヒロイン
",135417,319815,640,https://ncode.syosetu.com/n0339dn/
"【5/24漫画②発売】ポジティブ令嬢フローラの契約結婚
","契約結婚 たくましいヒロイン ややヘタレなヒーロー ドアマット未満 君を愛することはない でものちにベタ惚れ ざまぁというより 自業自得 書籍化 R15
",135246,176945,354,https://ncode.syosetu.com/n4528hj/
願わくばこの手に幸福を,"R15 残酷な描写あり ヒストリカル オリジナル戦記 異能力バトル 冒険 ラブコメ ダーク 男主人公 西洋 ハーレム 魔法 タイムリープ 復讐 やり直し
",134954,2355805,4712,https://ncode.syosetu.com/n3170ed/
"異世界転移したのでチートを生かして魔法剣士やることにする【web版】
","R15 残酷な描写あり 異世界転移 知識チート チート テンプレ 主人公以外転移者なし 鑑定 アイテムボックス トリップ 主人公最強 ご都合主義 一部NAISEI含む
",134663,474518,950,https://ncode.syosetu.com/n0447ca/
"優等生だった子爵令嬢は、恋を知りたい。～六人目の子供ができたので離縁します～【12/13コミック１巻発売】
","女主人公 西洋 日常 ハッピーエンド 身分差 恋愛 離縁 家族 雰囲気イケメン 真面目な主人公 悪役王女 子爵令嬢 子育て ヒロインが年上 年下男子 R15
",134634,135285,271,https://ncode.syosetu.com/n5497hk/
"魔王討伐したあと、目立ちたくないのでギルドマスターになった
","R15 日常 冒険 ラブコメ ギャグ ほのぼの 男主人公 魔王 勇者 職業もの 魔法 ハッピーエンド 恋愛 主人公最強 ギルドも最強
",134597,1371524,2744,https://ncode.syosetu.com/n9565dj/
極東救世主伝説,"日常 スプラッタ ぼっち 主人公そこそこ強い 勘違い 変態企業 AC風味 ハードボイルド？ R15 残酷な描写あり
",134374,512266,1025,https://ncode.syosetu.com/n4965hv/
"異世界国家アルキマイラ　―最弱の王と無双の軍勢―
","R15 残酷な描写あり 異世界転移 第二章完結済み ゲーム／ＶＲＭＭＯ 男主人公＝王様 軍事大国 チート 魔法 魔物 軍勢無双 主人公最弱 主人公勢力最強 ドラゴン エルフ シリアス
",134325,631251,1263,https://ncode.syosetu.com/n0031ei/
"パーティーから追放されたその治癒師、実は最強につき
","オリジナル戦記 主人公強キャラ 自己評価低い 周囲の評価低い ヒロイン一途 ざまぁ 歪な能力 R15 残酷な描写あり
",134240,565379,1131,https://ncode.syosetu.com/n2379eu/
エノク第二部隊の遠征ごはん,"ほのぼの 女主人公 職業もの 冒険 日常 ファンタジー 食事 料理 エルフ 騎士 薬草 残酷な描写あり
",134224,1209783,2420,https://ncode.syosetu.com/n2542dr/
"いつでも自宅に帰れる俺は、異世界で行商人をはじめました　【WEB版】
","異世界転移 ほのぼの 商売超繁盛 ハッピーエンド 成り上がり 大金持ち めざせ５０００兆円
",133839,133585,268,https://ncode.syosetu.com/n4097fo/
"【 書籍3巻＆コミック１巻発売中！】転生しました、サラナ・キンジェです。ごきげんよう。
","年の差 転生 ざまぁ 悪役令嬢？ R15 異世界転生
",133716,415396,831,https://ncode.syosetu.com/n3822hw/
モンスターのご主人様,"R15 残酷な描写あり 異世界転移 異類婚姻譚 異能力バトル 冒険 異世界迷い込み 剣と魔法 テイマー ハーレム サバイバル モンスター娘 人間ヒロインあり エルフ 恋愛
",133660,2251058,4503,https://ncode.syosetu.com/n9543bw/
見切りから始める我流剣術,"残酷な描写あり オリジナル戦記 男主人公 我流剣術
",133660,466544,934,https://ncode.syosetu.com/n8001hc/
"【書籍化】婚約破棄されたのに元婚約者の結婚式に招待されました。断れないので兄の友人に同行してもらいます【コミカライズ】
","女主人公 西洋 ハッピーエンド 身分差 年の差 婚約破棄 子爵令嬢 騎士 残念なイケメン 書籍化 コミカライズ
",133544,166119,333,https://ncode.syosetu.com/n5775gz/
"初級魔術マジックアローを極限まで鍛えたら　～追放された貴族の学生、希望を捨てずに修行して最強に至る～
","R15 残酷な描写あり オリジナル戦記 冒険 主人公最強 ファンタジー 男主人公 魔法使い 魔術師 成り上がり 追放 学園 ざまぁ
",133440,352123,705,https://ncode.syosetu.com/n9130gf/
"「書籍化」モブな主人公　〜小説の中のモブだけど問題がある
","R15 残酷な描写あり 異世界転生 モブ レベル ゲーム 小説の中の世界 おっさん ざまぁ ダンジョン ＴＳ 追放
",133268,1728245,3457,https://ncode.syosetu.com/n1218hu/
"ドリーム・ライフ～夢の異世界生活～
","男主人公 冒険 ファンタジー 異世界 転生 酒を愛する主人公 酒が世界を動かす 内政系？ 政治関係少々 ドワーフライフ 基本はシリアス R15 残酷な描写あり 異世界転生
",133219,3351928,6704,https://ncode.syosetu.com/n7804bq/
"朝起きたらダンジョンが出現していた日常について……
","ギャグ シリアス 男主人公 学園 現代 チート 魔法 冒険 ミリタリー 日常 青春 超能力 ダンジョン ご都合主義 書籍化・コミカライズ R15 残酷な描写あり
",132831,3102225,6205,https://ncode.syosetu.com/n1365dn/
"異世界に来たみたいだけど如何すれば良いのだろう
","残酷な描写あり 異世界転移 おっさん 成り上がり 飯テロ傾向有ります 老紳士つきます 美男子美少女有ります 今日のわんこ(子狼) ネット小説大賞 タロはじめました ヒロイン一筋(純愛) 淡い恋心の描写有り チート ハーレム？何それ？ グルメ垂涎 内政 貴族
",132634,2523930,5048,https://ncode.syosetu.com/n0885dc/
"１０年間身体を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる
","R15 ラブコメ 婚約破棄 乗っ取り・入れ替わり 騎士 一途・執着 重すぎる片思い 酒が入ると泣く男 ヤンデレもいます ハッピーエンド
",132626,188580,378,https://ncode.syosetu.com/n0873gq/
"貧乏騎士に嫁入りしたはずが！
","魔法 身分差 ヒストリカル 帝国 恋愛 皇妃 戦い
",132422,478840,958,https://ncode.syosetu.com/n0760ho/
TS衛生兵さんの成り上がり,"オリジナル戦記 残酷な描写 性転換 TS転生 なり上がり 無表情敬語貧乳女兵士 R15 異世界転生
",132208,1291952,2584,https://ncode.syosetu.com/n1580hl/
"魔王と竜王に育てられた少年は学園生活を無双するようです（web版）
","R15 オリジナル戦記 日常 青春 異能力バトル 冒険 男主人公 魔王 ハーレム チート ハッピーエンド 異世界 魔法 幼馴染 ざまぁ
",131937,578974,1158,https://ncode.syosetu.com/n4997ga/
最強魔法師の隠遁計画,"学園 チート 魔法 身分差 異能力バトル 魔法師 教育？ 魔物 異世界 ファンタジー 主人公最強 異種戦争 王道 ハーレム要素有り ツンデレ R15 残酷な描写あり
",131911,2576471,5153,https://ncode.syosetu.com/n5606cq/
"魔術学院を首席で卒業した俺が冒険者を始めるのはそんなにおかしいだろうか
","R15 残酷な描写あり 日常 冒険 異世界／ファンタジー 剣と魔法 中世ヨーロッパ風 男主人公 主人公最強風味 ハーレム風味 ヒューマンドラマ 派手な地味魔法 TRPG風味
",131879,504589,1010,https://ncode.syosetu.com/n4176eh/
"世界最強の魔女、始めました　〜私だけ『攻略サイト』を見れる世界で自由に生きます〜（Ｗｅｂ版）
","ギャグ 女主人公 チート ハッピーエンド 主人公最強 ゲーム知識 現代知識 裏技・バグ技 ネットTUEEE 勘違い
",131744,431766,864,https://ncode.syosetu.com/n6160hp/
【書籍化&amp;コミカライズ】地味姫と黒猫の、円満な婚約破棄,"魔法 冒険 ハッピーエンド 婚約破棄 令嬢 魔術師 モフモフ 黒猫 書籍化 コミカライズ 残酷な描写あり
",131434,1098706,2198,https://ncode.syosetu.com/n6388fz/
"【アニメ放送中！】　モブから始まる探索英雄譚
","男主人公 チート 魔法 冒険 日常 青春 ダンジョン スクールラブ ヒーロー ラブコメ 幼女 スキル ステータス レベル R15 残酷な描写あり
",131400,1397077,2795,https://ncode.syosetu.com/n8930fk/
"異世界でも無難に生きたい症候群【完結】
","R15 残酷な描写あり 異世界転移 日常 冒険 書籍化
",131100,2628841,5258,https://ncode.syosetu.com/n0172eh/
"【完結】勇者殺しの元暗殺者。～無職のおっさんから始まるセカンドライフ～
","男主人公 オリジナル戦記 暗殺者 おじさん 成り上がり 主人公最強 実力隠し 剣と魔法 R15 残酷な描写あり
",131060,756086,1513,https://ncode.syosetu.com/n7027ig/
"【コミカライズ作品】ダンジョンが現れて5年、15歳でダンジョンに挑むことにした。
","男主人公 現代 ハーレム ダンジョン 成り上がり ざまぁ 修羅場 R15 残酷な描写あり
",131022,1988615,3978,https://ncode.syosetu.com/n9803ie/
"転生！　竹中半兵衛　マイナー武将に転生した仲間たちと戦国乱世を生き抜く
","R15 残酷な描写あり 歴史 戦国 戦記 戦略 謀略 現代知識 内政 茶室 開発 歴史改変 成り上がり 知識チート 転生 竹中半兵衛 秀吉
",130721,643414,1287,https://ncode.syosetu.com/n0681de/
